 Market_description         , Market_id , bookmaker name   , bookmaker_id 
 Fulltime Result            ,1, bwin             ,28
 Fulltime Result            ,1, 888Sport         ,5
 Fulltime Result            ,1, TitanBet         ,31
 Fulltime Result            ,1, Bet-At-Home      ,7
 Fulltime Result            ,1, Interwetten      ,27
 Fulltime Result            ,1, BetClic          ,37
 Fulltime Result            ,1, Ladbrokes        ,32
 Fulltime Result            ,1, CloudBet         ,38
 Fulltime Result            ,1, BetRegal         ,60
 Fulltime Result            ,1, Pinnacle         ,20
 Fulltime Result            ,1, Sbo              ,34
 Fulltime Result            ,1, Betway           ,39
 Fulltime Result            ,1, Unibet           ,23
 Fulltime Result            ,1, Tipico           ,22
 Fulltime Result            ,1, BetCRIS          ,8
 Fulltime Result            ,1, NordicBet        ,55
 Fulltime Result            ,1, Betfair          ,9
 Fulltime Result            ,1, Marathonbet      ,16
 Match Winner               ,1, bwin             ,28
 Match Winner               ,1, 888Sport         ,5
 Match Winner               ,1, TitanBet         ,31
 Match Winner               ,1, Bet-At-Home      ,7
 Match Winner               ,1, Interwetten      ,27
 Match Winner               ,1, BetClic          ,37
 Match Winner               ,1, Ladbrokes        ,32
 Match Winner               ,1, CloudBet         ,38
 Match Winner               ,1, BetRegal         ,60
 Match Winner               ,1, Pinnacle         ,20
 Match Winner               ,1, Sbo              ,34
 Match Winner               ,1, Betway           ,39
 Match Winner               ,1, Unibet           ,23
 Match Winner               ,1, Tipico           ,22
 Match Winner               ,1, BetCRIS          ,8
 Match Winner               ,1, NordicBet        ,55
 Match Winner               ,1, Betfair          ,9
 Match Winner               ,1, Marathonbet      ,16
 Fulltime Result            ,1, 188Bet           ,3
 Fulltime Result            ,1, MansionBet       ,58
 Full Time Result           ,1, bet365           ,2
 Match Winner               ,1, Marathonbet      ,16
 Match Winner               ,1, Unibet           ,23
 Match Winner               ,1, Tipico           ,22
 Match Winner               ,1, BetCRIS          ,8
 Match Winner               ,1, NordicBet        ,55
 Match Winner               ,1, 10Bet            ,1
 Match Winner               ,1, Betsson          ,26
 Match Winner               ,1, 1xbet            ,35
 Asian Handicap             ,6, Marathonbet      ,16
 Asian Handicap             ,6, Pinnacle         ,20
 Asian Handicap             ,6, 1xbet            ,35
 Asian Handicap             ,6, Dafabet          ,14
 Asian Handicap             ,6, Unibet           ,23
 Asian Handicap             ,6, CloudBet         ,38
 Asian Handicap             ,6, MansionBet       ,58
 Asian Handicap             ,6, bet365           ,2
 Asian Handicap             ,6, Sbo              ,34
 Asian Handicap             ,6, 10Bet            ,1
 Goals Over/Under           ,80, Marathonbet      ,16
 Goals Over/Under           ,80, Unibet           ,23
 Goals Over/Under           ,80, Betsson          ,26
 Goals Over/Under           ,80, WilliamHill      ,29
 Goals Over/Under           ,80, Pinnacle         ,20
 Goals Over/Under           ,80, 1xbet            ,35
 Goals Over/Under           ,80, BetCRIS          ,8
 Goals Over/Under           ,80, 10Bet            ,1
 Goals Over/Under           ,80, Sbo              ,34
 Goals Over/Under           ,80, Betway           ,39
 Goals Over/Under           ,80, NordicBet        ,55
 Goals Over/Under           ,80, Tipico           ,22
 Goals Over/Under           ,80, bet365           ,2
 Goals Over/Under           ,80, Dafabet          ,14
 Corners 1x2                ,269, Tipico           ,22
 Corners 1x2                ,269, Betway           ,39
 Corners 1x2                ,269, 1xbet            ,35
 Corners 1x2                ,269, Unibet           ,23
 Corners 1x2                ,269, WilliamHill      ,29
 Asian Handicap Corners     ,62, 1xbet            ,35
 Asian Handicap Corners     ,62, bet365           ,2
 Asian Handicap Corners     ,62, Marathonbet      ,16
 Asian Handicap Corners     ,62, Pinnacle         ,20
 Total Corners              ,68, bet365           ,2
